entry,core_list_neg,core_list_pos,integrated_list_neg,integrated_list_pos,in_karta_slov,in_rusentilex,in_kfu,in_polsentilex,karta_slov_polarity,karta_slov_valence,"rusentilex_polarity
(""depends"" means this word has different valences in original RuSentiLex)",rusentilex_objectivity,score_kfu,average_rate_polsentilex,intensity_norm_polsentilex,polarity_polsentilex,is_generated_adverb_from_adjective,valence_consensus_between_4_lists
абажур,,,,,1,0,1,0,neutral,0.08,,,0.547,,,,0,agree
аббатство,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
аббревиатура,,,,,1,0,1,0,neutral,0.08,,,0.53,,,,0,agree
абзац,,,,,1,0,1,0,neutral,0,,,0.526,,,,0,agree
абиссинец,,,,,1,0,0,0,neutral,0.28,,,,,,,0,unique
абитуриент,,,,,1,0,1,0,neutral,0.23,,,0.555,,,,0,agree
абитуриентка,,,,,1,0,0,0,neutral,0.34,,,,,,,0,unique
абонемент,,,,,1,0,0,0,neutral,0.18,,,,,,,0,unique
абонементный,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
абонент,,,,,1,0,1,0,neutral,0,,,0.521,,,,0,agree
абонентный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
абонентский,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиабомба,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
абордажный,,,,,1,0,0,0,neutral,-0.19,,,,,,,0,unique
абориген,,,,,1,0,1,0,neutral,-0.02,,,0.579,,,,0,agree
аборигенка,,,,,1,0,0,0,neutral,0.02,,,,,,,0,unique
аборигенный,,,,,1,0,0,1,neutral,-0.08,,,,0,0,neutral,0,agree
аборт,1,,1,,1,1,1,1,negative,-0.68,negative,fact,0.454,-1,-0.5,negative,0,agree
абразив,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
беззастенчиво,,,1,,1,1,1,1,neutral,-0.34,negative,opinion,0.77,-1,-0.5,negative,1,conflict
абрикос,,,,,1,0,1,0,positive,0.57,,,0.682,,,,0,conflict
абрикосовый,,,,,1,0,0,0,neutral,0.51,,,,,,,0,unique
абсолют,,,,,1,0,1,0,neutral,0.45,,,0.684,,,,0,agree
абсолютизировать,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
абсолютизм,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
абсолютно,,,,,1,0,1,1,neutral,0.32,,,0.669,0,0,neutral,1,agree
абсолютность,,,,,1,0,0,0,neutral,0.41,,,,,,,0,unique
абсолютный,,,,,1,0,1,1,neutral,0.32,,,0.669,0,0,neutral,0,agree
абсорбировать,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
абстрагирование,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
абстрагировать,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
абстрагироваться,,,,,1,0,0,0,neutral,0.06,,,,,,,0,unique
абстрактно,,,,,1,0,1,1,neutral,0,,,0.678,0,0,neutral,1,agree
абстрактность,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
абстрактный,,,,,1,0,1,1,neutral,0,,,0.678,0,0,neutral,0,agree
абстракционизм,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
абстракционист,,,,,1,0,0,0,neutral,0.13,,,,,,,0,unique
абстракция,,,,,1,0,1,0,neutral,0.09,,,0.642,,,,0,agree
абсурд,1,,1,,1,1,1,1,negative,-0.95,negative,opinion,0.351,-1,-0.5,negative,0,agree
абсурдно,1,,1,,1,1,1,1,negative,-0.9,negative,opinion,0.399,-1,-0.5,negative,1,agree
абсурдность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.469,,,,0,agree
абсурдный,1,,1,,1,1,1,1,negative,-0.9,negative,opinion,0.399,-1,-0.5,negative,0,agree
автокатастрофа,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
абхаз,,,,,1,0,0,1,neutral,0.16,,,,0,0,neutral,0,agree
абхазы,,,,,1,0,0,0,neutral,0.11,,,,,,,0,unique
авангард,,,,,1,0,1,0,neutral,0.52,,,0.666,,,,0,agree
авангардизм,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
авангардный,,,,,1,0,1,0,neutral,0.5,,,0.704,,,,0,conflict
аванс,,,,,1,0,1,0,neutral,0.53,,,0.644,,,,0,agree
авансовый,,,,,1,0,0,0,neutral,0.41,,,,,,,0,unique
авантюра,1,,1,,1,1,1,1,negative,-0.58,negative,opinion,0.479,0,0,neutral,0,conflict
авантюризм,1,,1,,1,1,1,0,negative,-0.37,negative,opinion,0.435,,,,0,agree
авантюрист,1,,1,,1,1,1,0,negative,-0.37,negative,opinion,0.522,,,,0,conflict
беззастенчивый,,,1,,1,1,1,1,neutral,-0.34,negative,opinion,0.77,-1,-0.5,negative,0,conflict
авантюристка,1,,1,,1,1,1,0,negative,-0.49,negative,opinion,0.47,,,,0,agree
авантюристский,1,,1,,1,1,1,0,negative,-0.36,negative,opinion,0.501,,,,0,conflict
авантюрность,,,,,1,0,0,0,neutral,0.33,,,,,,,0,unique
авантюрный,1,,1,,1,1,1,1,neutral,0.4,negative,opinion,0.448,0,0,neutral,0,conflict
аварийка,,,,,1,0,0,0,neutral,-0.2,,,,,,,0,unique
аварийность,1,,1,,1,1,1,0,negative,-0.71,negative,fact,0.46,,,,0,agree
аварийный,1,,1,,1,1,1,1,negative,-0.98,negative,fact,0.353,-1,-0.5,negative,0,agree
аварийщик,,,,,1,0,0,0,neutral,0.26,,,,,,,0,unique
авария,1,,1,,1,1,1,1,negative,-1,negative,fact,0.281,-1,-0.5,negative,0,agree
аватарка,,,,,1,0,0,0,neutral,0.2,,,,,,,0,unique
август,,,,,1,0,1,1,neutral,0.19,,,0.624,0,0,neutral,0,agree
августовский,,,,,1,0,1,0,neutral,0.15,,,0.586,,,,0,agree
авеню,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиабаза,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиабензин,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиабилет,,,,,1,0,0,0,neutral,0.07,,,,,,,0,unique
адски,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
авиабригада,,,,,1,0,0,0,neutral,0.21,,,,,,,0,unique
авиагородок,,,,,1,0,0,0,neutral,0.24,,,,,,,0,unique
авиадесантный,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
авиадивизия,,,,,1,0,0,0,neutral,0.36,,,,,,,0,unique
авиадиспетчер,,,,,1,0,0,0,neutral,0.28,,,,,,,0,unique
авиазавод,,,,,1,0,0,0,neutral,0.27,,,,,,,0,unique
авиакасса,,,,,1,0,0,0,neutral,0.11,,,,,,,0,unique
авиакатастрофа,1,,1,,1,1,1,0,negative,-1,negative,fact,0.337,,,,0,agree
авиаклуб,,,,,1,0,0,0,neutral,0.3,,,,,,,0,unique
авиакомпания,,,,,1,0,1,0,neutral,0.33,,,0.621,,,,0,agree
авиаконструктор,,,,,1,0,0,0,neutral,0.43,,,,,,,0,unique
авиакорпус,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиакрыло,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиалайнер,,,,,1,0,0,0,neutral,0.37,,,,,,,0,unique
авиалиния,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авиамеханик,,,,,1,0,0,0,neutral,0.25,,,,,,,0,unique
авиамодельный,,,,,1,0,0,0,neutral,0.09,,,,,,,0,unique
авиамоторный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
авианаводчик,,,,,1,0,0,0,neutral,0.16,,,,,,,0,unique
